SKB,17.311506,-62.718426,KN,America/St_Kitts,-14400,0,No DST
SUB,-7.3788853,112.78729,ID,Asia/Jakarta,25200,0,No DST
SVO,55.973648,37.412502,RU,Europe/Moscow,10800,0,No DST
SYD,-33.939922,151.17528,AU,Australia/Sydney,39600,1,2022-04-02 16:00:00,2022-10-01 16:00:00
SYR,43.11393,-76.11019,US,America/New_York,-14400,1,2022-03-13 07:00:00,2022-11-06 06:00:00
TST,7.5094256,99.61646,TH,Asia/Bangkok,25200,0,No DST
TUS,32.11451,-110.939224,US,America/Phoenix,-25200,0,No DST
UBP,15.247016,104.87071,TH,Asia/Bangkok,25200,0,No DST
UPG,-5.077747,119.549484,ID,Asia/Makassar,28800,0,No DST
VCE,45.506313,12.34752,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
STR,48.687637,9.205576,DE,Europe/Berlin,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
TPE,25.07965,121.234215,TW,Asia/Taipei,28800,0,No DST
TRD,63.45827,10.922599,NO,Europe/Oslo,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
TSA,25.067566,121.5527,TW,Asia/Taipei,28800,0,No DST
TSN,39.130405,117.3592,CN,Asia/Shanghai,28800,0,No DST
VIE,48.115833,16.566576,AT,Europe/Vienna,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VLC,39.48923,-0.4780256,ES,Europe/Madrid,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VNO,54.638035,25.286558,LT,Europe/Vilnius,7200,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VRN,45.4,10.890141,IT,Europe/Rome,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
VTE,17.98692,102.56344,LA,Asia/Vientiane,25200,0,No DST
VVO,43.39485,132.14774,RU,Asia/Vladivostok,36000,0,No DST
WAW,52.167236,20.967892,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
WRO,51.104164,16.880934,PL,Europe/Warsaw,3600,0,2022-03-27 01:00:00,2022-10-30 01:00:00
WUH,30.776617,114.21245,CN,Asia/Shanghai,28800,0,No DST
